hour;wind_capacity_factor
2224;0
2225;0
2226;0
2227;0.001
2228;0.001
2229;0
2230;0
2231;0.001
2232;0.002
2233;0.003
2234;0.003
2235;0.074
2236;0.02
2237;0.023
2238;0.073
2239;0.109
2240;0.114
2241;0.279
2242;0.522
2243;0.662
2244;0.425
2245;0.027
2246;0.003
2247;0
2248;0
2249;0
2250;0
2251;0.002
2252;0.003
2253;0.004
2254;0.006
2255;0.009
2256;0.009
2257;0.007
2258;0.004
2259;0.081
2260;0.07
2261;0.045
2262;0.044
2263;0.04
2264;0.031
2265;0.053
2266;0.092
2267;0.129
2268;0.058
2269;0.006
2270;0.002
2271;0.002
2272;0.006
2273;0.01
2274;0.015
2275;0.021
2276;0.022
2277;0.019
2278;0.016
2279;0.011
2280;0.01
2281;0.008
2282;0.002
2283;0.006
2284;0.002
2285;0
2286;0.001
2287;0.015
2288;0.259
2289;0.901
2290;1.128
2291;1.215
2292;0.643
2293;0.206
2294;0.317
2295;0.549
2296;0.541
2297;0.389
2298;0.218
2299;0.119
2300;0.076
2301;0.069
2302;0.062
2303;0.042
2304;0.019
2305;0.005
2306;0
2307;0.001
2308;0
2309;0
2310;0
2311;0.003
2312;0.117
2313;1.44
2314;2.643
2315;2.346
2316;0.756
2317;0.053
2318;0.007
2319;0.002
2320;0.002
2321;0.001
2322;0.002
2323;0.003
2324;0.003
2325;0.003
2326;0.004
2327;0.006
2328;0.009
2329;0.008
2330;0.007
2331;0.033
2332;0.008
2333;0.103
2334;0.816
2335;0.847
2336;0.586
2337;0.277
2338;0.206
2339;0.445
2340;0.569
2341;0.071
2342;0.031
2343;0.016
2344;0.011
2345;0.006
2346;0.003
2347;0.001
2348;0
2349;0
2350;0
2351;0
2352;0
2353;0
2354;0
2355;0
2356;0
2357;0.006
2358;0.096
2359;0.211
2360;0.28
2361;0.519
2362;0.263
2363;0.052
2364;0.003
2365;0
2366;0
2367;0.002
2368;0.005
2369;0.008
2370;0.014
2371;0.019
2372;0.021
2373;0.021
2374;0.026
2375;0.025
2376;0.022
2377;0.018
2378;0.016
2379;0.167
2380;0.078
2381;0.082
2382;0.113
2383;0.073
2384;0.035
2385;0.025
2386;0.127
2387;0.159
2388;0.317
2389;0.052
2390;0.01
2391;0.001
2392;0
2393;0
2394;0
2395;0
2396;0
2397;0
2398;0
2399;0.002
2400;0.003
2401;0.001
2402;0
2403;0.056
2404;0.006
2405;0.016
2406;0.026
2407;0.033
2408;0.045
2409;0.07
2410;0.072
2411;0.108
2412;0.08
2413;0.014
2414;0.003
2415;0.001
2416;0
2417;0
2418;0
2419;0
2420;0
2421;0.001
2422;0.001
2423;0.001
2424;0.001
2425;0.001
2426;0
2427;0.009
2428;0.001
2429;0.002
2430;0.011
2431;0.012
2432;0.008
2433;0.014
2434;0.081
2435;0.275
2436;0.467
2437;0.021
2438;0.002
2439;0
2440;0
2441;0
2442;0.001
2443;0.007
2444;0.034
2445;0.078
2446;0.084
2447;0.061
2448;0.03
2449;0.019
2450;0.003
2451;0.003
2452;0.002
2453;0.004
2454;0.014
2455;0.048
2456;0.137
2457;0.317
2458;0.82
2459;0.829
2460;0.358
2461;0.002
2462;0
2463;0.002
2464;0.012
2465;0.039
2466;0.075
2467;0.119
2468;0.14
2469;0.129
2470;0.105
2471;0.062
2472;0.023
2473;0.018
2474;0.003
2475;0.015
2476;0.043
2477;0.176
2478;0.254
2479;0.457
2480;1.459
2481;3.002
2482;3.157
2483;2.06
2484;0.345
2485;0.011
2486;0.002
2487;0.001
2488;0
2489;0
2490;0.001
2491;0.003
2492;0.013
2493;0.027
2494;0.036
2495;0.028
2496;0.022
2497;0.014
2498;0.001
2499;0.003
2500;0.034
2501;0.317
2502;0.778
2503;0.718
2504;0.419
2505;0.429
2506;0.613
2507;0.752
2508;0.23
2509;0.004
2510;0
2511;0
2512;0.001
2513;0.002
2514;0.003
2515;0.003
2516;0.002
2517;0.001
2518;0
2519;0
2520;0
2521;0
2522;0
2523;0
2524;0.015
2525;0.194
2526;0.438
2527;0.398
2528;0.363
2529;0.712
2530;1.686
2531;2.325
2532;0.689
2533;0.028
2534;0.004
2535;0.003
2536;0.002
2537;0.001
2538;0.001
2539;0.002
2540;0.003
2541;0.003
2542;0.002
2543;0.002
2544;0.001
2545;0
2546;0
2547;0.042
2548;0.001
2549;0.002
2550;0.341
2551;2.88
2552;8.523
2553;12.154
2554;11.999
2555;10.58
2556;6.67
2557;1.37
2558;0.036
2559;0
2560;0
2561;0.001
2562;0.001
2563;0.002
2564;0.005
2565;0.008
2566;0.008
2567;0.004
2568;0.004
2569;0.002
2570;0.037
2571;0.514
2572;0.369
2573;0.404
2574;0.732
2575;1.253
2576;1.796
2577;2.453
2578;3.001
2579;2.98
2580;2.322
2581;0.317
2582;0.101
2583;0.046
2584;0.029
2585;0.019
2586;0.009
2587;0.007
2588;0.009
2589;0.013
2590;0.013
2591;0.016
2592;0.022
2593;0.013
2594;0.001
2595;0.04
2596;0.109
2597;0.197
2598;0.317
2599;0.46
2600;0.605
2601;0.912
2602;1.458
2603;1.801
2604;1.153
2605;0.143
2606;0.053
2607;0.027
2608;0.025
2609;0.024
2610;0.013
2611;0.008
2612;0.004
2613;0.002
2614;0
2615;0.001
2616;0.002
2617;0.002
2618;0
2619;0
2620;0
2621;0
2622;0.011
2623;0.102
2624;0.26
2625;0.479
2626;0.936
2627;1.239
2628;0.876
2629;0.06
2630;0.023
2631;0.012
2632;0.005
2633;0.001
2634;0
2635;0.001
2636;0.002
2637;0.004
2638;0.006
2639;0.007
2640;0.014
2641;0.014
2642;0.001
2643;0
2644;0.001
2645;0.012
2646;0.066
2647;0.195
2648;0.617
2649;2.027
2650;2.745
2651;2.078
2652;0.78
2653;0.041
2654;0.001
2655;0
2656;0.002
2657;0.01
2658;0.024
2659;0.043
2660;0.092
2661;0.139
2662;0.157
2663;0.138
2664;0.061
2665;0.014
2666;0.001
2667;0.004
2668;0
2669;0
2670;0.011
2671;0.032
2672;0.071
2673;0.99
2674;1.959
2675;1.267
2676;0.316
2677;0.015
2678;0.001
2679;0
2680;0
2681;0
2682;0
2683;0
2684;0
2685;0.001
2686;0.009
2687;0.019
2688;0.022
2689;0.019
2690;0.013
2691;0.039
2692;0.04
2693;0.023
2694;0.018
2695;0.014
2696;0.015
2697;0.041
2698;0.05
2699;0.14
2700;0.107
2701;0.005
2702;0
2703;0
2704;0
2705;0
2706;0
2707;0
2708;0.002
2709;0.004
2710;0.007
2711;0.006
2712;0.003
2713;0.001
2714;0
2715;0.002
2716;0.006
2717;0.003
2718;0.004
2719;0.008
2720;0.04
2721;0.485
2722;0.864
2723;1.09
2724;0.541
2725;0.014
2726;0
2727;0.001
2728;0.003
2729;0.006
2730;0.009
2731;0.008
2732;0.003
2733;0.001
2734;0
2735;0.001
2736;0.003
2737;0.002
2738;0
2739;0
2740;0
2741;0
2742;0
2743;0.002
2744;0.033
2745;0.168
2746;0.479
2747;0.774
2748;0.559
2749;0.021
2750;0
2751;0
2752;0.001
2753;0.011
2754;0.042
2755;0.073
2756;0.06
2757;0.038
2758;0.016
2759;0.009
2760;0.008
2761;0.006
2762;0.001
2763;0.001
2764;0
2765;0
2766;0.003
2767;0.009
2768;0.04
2769;0.157
2770;0.348
2771;0.68
2772;0.461
2773;0.015
2774;0.001
2775;0
2776;0
2777;0
2778;0.001
2779;0.002
2780;0.003
2781;0.003
2782;0.002
2783;0.001
2784;0.001
2785;0.009
2786;0.003
2787;0.009
2788;0.01
2789;0.014
2790;0.028
2791;0.074
2792;0.129
2793;0.106
2794;0.214
2795;0.81
2796;0.923
2797;0.075
2798;0.016
2799;0.004
2800;0.002
2801;0.005
2802;0.006
2803;0.003
2804;0.001
2805;0
2806;0
2807;0
2808;0.001
2809;0.002
2810;0.001
2811;0.063
2812;0.053
2813;0.14
2814;0.244
2815;0.238
2816;0.156
2817;0.103
2818;0.125
2819;0.373
2820;0.229
2821;0.009
2822;0
2823;0
2824;0
2825;0
2826;0.001
2827;0.003
2828;0.004
2829;0.002
2830;0
2831;0.001
2832;0.006
2833;0.012
2834;0.005
2835;0.067
2836;0.047
2837;0.226
2838;0.47
2839;0.317
2840;0.143
2841;0.074
2842;0.05
2843;0.196
2844;0.268
2845;0.004
2846;0
2847;0.001
2848;0.028
2849;0.09
2850;0.087
2851;0.053
2852;0.024
2853;0.016
2854;0.01
2855;0.025
2856;0.071
2857;0.065
2858;0.01
2859;0
2860;0
2861;0.003
2862;0.113
2863;0.387
2864;0.757
2865;0.972
2866;0.968
2867;0.85
2868;0.248
2869;0.002
2870;0
2871;0.001
2872;0.025
2873;0.061
2874;0.093
2875;0.116
2876;0.155
2877;0.192
2878;0.23
2879;0.279
2880;0.308
2881;0.157
2882;0.055
2883;0.006
2884;0.058
2885;0.194
2886;0.726
2887;1.962
2888;3.396
2889;4.35
2890;3.963
2891;2.757
2892;0.996
2893;0.021
2894;0
2895;0.002
2896;0.012
2897;0.028
2898;0.075
2899;0.148
2900;0.238
2901;0.318
2902;0.236
2903;0.18
2904;0.158
2905;0.125
2906;0.23
2907;0.142
2908;0.05
2909;0.004
2910;1.26
2911;2.994
2912;3.772
2913;4.314
2914;4.069
2915;2.32
2916;0.699
2917;0.028
2918;0.002
2919;0.004
2920;0.014
2921;0.04
2922;0.074
2923;0.064
2924;0.019
2925;0.013
2926;0.006
2927;0.007
2928;0.009
2929;0.005
2930;0.002
2931;0.001
2932;0
2933;0
2934;0
2935;0
2936;0.006
2937;0.044
2938;0.186
2939;0.688
2940;1.138
2941;0.468
2942;0.194
2943;0.038
2944;0.015
2945;0.022
2946;0.022
2947;0.008
2948;0
2949;0.001
2950;0.001
2951;0.001
2952;0.001
2953;0.001
2954;0.057
2955;0.097
2956;0.114
2957;0.24
2958;0.41
2959;0.613
2960;0.849
2961;1.084
2962;1.258
2963;1.258
2964;1.421
2965;0.849
2966;0.143
2967;0.05
2968;0.011
2969;0
2970;0
2971;0
2972;0
2973;0.002
2974;0.004
2975;0.006
2976;0.008
2977;0.004
2978;0.001
2979;0.105
2980;0.239
2981;0.518
2982;0.872
2983;1.272
2984;1.939
2985;2.967
2986;3.801
2987;3.927
2988;2.888
2989;0.43
2990;0.046
2991;0.003
2992;0.002
2993;0.003
2994;0.007
2995;0.016
2996;0.025
2997;0.029
2998;0.02
2999;0.028
3000;0.046
3001;0.032
3002;0.005
3003;0
3004;0.009
3005;0.077
3006;0.242
3007;0.426
3008;0.52
3009;0.684
3010;2.134
3011;4.196
3012;3.21
3013;0.315
3014;0.029
3015;0.016
3016;0.019
3017;0.027
3018;0.038
3019;0.043
3020;0.044
3021;0.039
3022;0.031
3023;0.036
3024;0.058
3025;0.047
3026;0.003
3027;0
3028;0.008
3029;0.019
3030;0.025
3031;0.027
3032;0.026
3033;0.045
3034;0.055
3035;0.067
3036;0.079
3037;0.001
3038;0
3039;0.003
3040;0.026
3041;0.038
3042;0.031
3043;0.028
3044;0.034
3045;0.052
3046;0.08
3047;0.123
3048;0.157
3049;0.107
3050;0.021
3051;0.004
3052;0.148
3053;0.492
3054;1.604
3055;3.489
3056;5.601
3057;7.816
3058;9.03
3059;8.939
3060;4.65
3061;0.723
3062;0.16
3063;0.013
3064;0.008
3065;0.014
3066;0.022
3067;0.032
3068;0.04
3069;0.042
3070;0.026
3071;0.017
3072;0.013
3073;0.008
3074;0.001
3075;0.001
3076;0.024
3077;0.142
3078;0.35
3079;0.541
3080;0.65
3081;0.768
3082;0.958
3083;1.293
3084;0.821
3085;0.053
3086;0.001
3087;0
3088;0.001
3089;0.015
3090;0.058
3091;0.114
3092;0.135
3093;0.137
3094;0.109
3095;0.081
3096;0.059
3097;0.023
3098;0.002
3099;0.003
3100;0.04
3101;0.23
3102;0.434
3103;0.568
3104;0.826
3105;1.257
3106;1.698
3107;1.585
3108;0.373
3109;0.004
3110;0
3111;0
3112;0.001
3113;0.006
3114;0.018
3115;0.042
3116;0.065
3117;0.088
3118;0.109
3119;0.117
3120;0.111
3121;0.058
3122;0.011
3123;0
3124;0.062
3125;0.76
3126;1.784
3127;2.883
3128;4.331
3129;6.649
3130;8.15
3131;10.392
3132;11.444
3133;4.736
3134;0.52
3135;0.013
3136;0.004
3137;0.006
3138;0.008
3139;0.02
3140;0.044
3141;0.076
3142;0.205
3143;0.352
3144;0.358
3145;0.105
3146;0.007
3147;0.006
3148;0.046
3149;0.318
3150;1.332
3151;3.398
3152;5.55
3153;6.644
3154;6.116
3155;4.528
3156;2.462
3157;0.348
3158;0.082
3159;0.055
3160;0.027
3161;0.019
3162;0.021
3163;0.02
3164;0.015
3165;0.013
3166;0.004
3167;0.001
3168;0.001
3169;0
3170;0
3171;0
3172;0.002
3173;0.003
3174;0.016
3175;0.088
3176;0.23
3177;0.518
3178;1.326
3179;1.851
3180;1.496
3181;0.109
3182;0.008
3183;0.001
3184;0
3185;0
3186;0
3187;0
3188;0.002
3189;0.008
3190;0.005
3191;0.005
3192;0.014
3193;0.015
3194;0
3195;0
3196;0
3197;0
3198;0
3199;0.03
3200;0.163
3201;0.678
3202;1.544
3203;2.069
3204;0.926
3205;0.042
3206;0.001
3207;0.003
3208;0.018
3209;0.038
3210;0.049
3211;0.061
3212;0.071
3213;0.075
3214;0.053
3215;0.042
3216;0.038
3217;0.013
3218;0
3219;0.002
3220;0.001
3221;0.004
3222;0.026
3223;0.109
3224;0.165
3225;0.274
3226;0.596
3227;0.77
3228;0.39
3229;0.052
3230;0.001
3231;0
3232;0
3233;0
3234;0
3235;0
3236;0
3237;0
3238;0
3239;0
3240;0.001
3241;0.002
3242;0
3243;0
3244;0.004
3245;0.115
3246;0.317
3247;0.355
3248;0.39
3249;0.509
3250;0.777
3251;0.692
3252;0.245
3253;0.003
3254;0
3255;0.005
3256;0.016
3257;0.042
3258;0.071
3259;0.075
3260;0.063
3261;0.045
3262;0.017
3263;0.005
3264;0.002
3265;0.001
3266;0.006
3267;0.542
3268;0.929
3269;1.397
3270;1.887
3271;2.281
3272;2.776
3273;3.567
3274;4.833
3275;5.268
3276;5.01
3277;1.113
3278;0.351
3279;0.157
3280;0.074
3281;0.048
3282;0.029
3283;0.021
3284;0.021
3285;0.025
3286;0.028
3287;0.022
3288;0.016
3289;0.007
3290;0.049
3291;1.099
3292;3.34
3293;5.527
3294;7.466
3295;9.422
3296;11.8
3297;12.992
3298;12.502
3299;10.645
3300;7.201
3301;1.606
3302;0.226
3303;0.068
3304;0.019
3305;0.004
3306;0.001
3307;0
3308;0.002
3309;0.004
3310;0.006
3311;0.007
3312;0.008
3313;0.006
3314;0.001
3315;0.001
3316;0
3317;0.001
3318;0.003
3319;0.018
3320;0.076
3321;0.194
3322;0.318
3323;0.405
3324;0.579
3325;0.112
3326;0.004
3327;0
3328;0
3329;0
3330;0.002
3331;0.007
3332;0.013
3333;0.021
3334;0.028
3335;0.027
3336;0.027
3337;0.011
3338;0
3339;0
3340;0
3341;0.004
3342;0.01
3343;0.021
3344;0.109
3345;0.205
3346;0.476
3347;1.269
3348;1.19
3349;0.157
3350;0.025
3351;0.007
3352;0.001
3353;0
3354;0
3355;0
3356;0
3357;0
3358;0
3359;0.002
3360;0.008
3361;0.008
3362;0
3363;0
3364;0.001
3365;0.016
3366;0.073
3367;0.181
3368;0.24
3369;0.343
3370;0.848
3371;1.484
3372;1.203
3373;0.113
3374;0.002
3375;0
3376;0.001
3377;0.009
3378;0.025
3379;0.038
3380;0.044
3381;0.053
3382;0.037
3383;0.033
3384;0.03
3385;0.018
3386;0.002
3387;0.002
3388;0
3389;0
3390;0.002
3391;0.029
3392;0.138
3393;0.186
3394;0.317
3395;0.53
3396;0.568
3397;0.016
3398;0
3399;0
3400;0.016
3401;0.069
3402;0.098
3403;0.103
3404;0.082
3405;0.051
3406;0.015
3407;0.011
3408;0.019
3409;0.006
3410;0.009
3411;0.019
3412;0.001
3413;0.003
3414;0.046
3415;0.053
3416;0.095
3417;0.18
3418;0.443
3419;0.703
3420;0.413
3421;0.092
3422;0.01
3423;0.002
3424;0.001
3425;0
3426;0
3427;0
3428;0
3429;0.001
3430;0.001
3431;0.001
3432;0.004
3433;0.007
3434;0.002
3435;0
3436;0.003
3437;0.351
3438;0.689
3439;0.374
3440;0.323
3441;0.454
3442;1.476
3443;2.89
3444;2.219
3445;0.188
3446;0.006
3447;0.002
3448;0.002
3449;0.005
3450;0.012
3451;0.015
3452;0.012
3453;0.01
3454;0.006
3455;0.001
3456;0
3457;0
3458;0.001
3459;0.004
3460;0.009
3461;0.042
3462;0.139
3463;0.283
3464;0.677
3465;1.837
3466;2.953
3467;2.559
3468;1.196
3469;0.068
3470;0.001
3471;0
3472;0
3473;0.001
3474;0.004
3475;0.009
3476;0.016
3477;0.021
3478;0.022
3479;0.022
3480;0.021
3481;0.011
3482;0.003
3483;0.038
3484;0.084
3485;0.124
3486;0.127
3487;0.207
3488;0.329
3489;0.405
3490;0.463
3491;0.666
3492;0.617
3493;0.11
3494;0.005
3495;0
3496;0
3497;0
3498;0.003
3499;0.01
3500;0.02
3501;0.024
3502;0.021
3503;0.016
3504;0.011
3505;0.003
3506;0
3507;0.02
3508;0.032
3509;0.074
3510;0.056
3511;0.045
3512;0.067
3513;0.099
3514;0.308
3515;0.716
3516;0.606
3517;0.051
3518;0.001
3519;0.001
3520;0.007
3521;0.021
3522;0.026
3523;0.028
3524;0.03
3525;0.034
3526;0.025
3527;0.024
3528;0.024
3529;0.019
3530;0.01
3531;0.099
3532;0.021
3533;0.047
3534;0.209
3535;0.461
3536;0.467
3537;0.772
3538;1.455
3539;2.231
3540;2.013
3541;0.237
3542;0.008
3543;0.001
3544;0
3545;0.002
3546;0.019
3547;0.056
3548;0.113
3549;0.195
3550;0.246
3551;0.242
3552;0.213
3553;0.079
3554;0.025
3555;0.236
3556;0.077
3557;0.027
3558;0.051
3559;0.094
3560;0.111
3561;0.096
3562;0.217
3563;0.614
3564;0.559
3565;0.044
3566;0
3567;0
3568;0
3569;0
3570;0
3571;0
3572;0.001
3573;0.001
3574;0.001
3575;0.003
3576;0.01
3577;0.006
3578;0.003
3579;0.001
3580;0
3581;0
3582;0.009
3583;0.196
3584;0.525
3585;1.247
3586;1.533
3587;1.119
3588;0.398
3589;0.016
3590;0.001
3591;0
3592;0
3593;0
3594;0
3595;0
3596;0
3597;0.001
3598;0.003
3599;0.007
3600;0.007
3601;0.003
3602;0.002
3603;0.004
3604;0.006
3605;0.047
3606;0.167
3607;0.292
3608;0.244
3609;0.244
3610;0.447
3611;0.425
3612;0.238
3613;0.016
3614;0.002
3615;0.001
3616;0.001
3617;0.001
3618;0.002
3619;0.004
3620;0.003
3621;0.001
3622;0.001
3623;0
3624;0
3625;0.001
3626;0.094
3627;0.097
3628;0.13
3629;0.203
3630;0.197
3631;0.142
3632;0.134
3633;0.753
3634;3.397
3635;3.092
3636;1.3
3637;0.22
3638;0.057
3639;0.054
3640;0.028
3641;0.009
3642;0.005
3643;0.006
3644;0.008
3645;0.009
3646;0.007
3647;0.005
3648;0.003
3649;0.001
3650;0.002
3651;0.041
3652;0.113
3653;0.756
3654;2.036
3655;4.33
3656;8.369
3657;12.105
3658;14.235
3659;11.448
3660;7.478
3661;2.957
3662;0.668
3663;0.406
3664;0.29
3665;0.212
3666;0.117
3667;0.058
3668;0.023
3669;0.014
3670;0.004
3671;0.003
3672;0.007
3673;0.013
3674;0.008
3675;0.004
3676;0.042
3677;0.081
3678;0.049
3679;0.077
3680;0.087
3681;0.059
3682;0.047
3683;0.063
3684;0.094
3685;0.021
3686;0.01
3687;0.003
3688;0.001
3689;0.001
3690;0.002
3691;0.002
3692;0.002
3693;0.001
3694;0.001
3695;0.001
3696;0.001
3697;0.002
3698;0.019
3699;0
3700;0
3701;0.002
3702;0.013
3703;0.058
3704;0.188
3705;0.324
3706;0.857
3707;1.502
3708;1.566
3709;0.892
3710;0.163
3711;0.091
3712;0.059
3713;0.041
3714;0.021
3715;0.014
3716;0.013
3717;0.024
3718;0.019
3719;0.014
3720;0.01
3721;0.002
3722;0
3723;0
3724;0.002
3725;0.005
3726;0.004
3727;0.01
3728;0.016
3729;0.025
3730;0.025
3731;0.054
3732;0.126
3733;0.09
3734;0.013
3735;0.007
3736;0.008
3737;0.011
3738;0.011
3739;0.008
3740;0.005
3741;0.005
3742;0.002
3743;0
3744;0
3745;0.001
3746;0.007
3747;0.014
3748;0.008
3749;0.004
3750;0.007
3751;0.029
3752;0.075
3753;0.084
3754;0.041
3755;0.014
3756;0.087
3757;0.071
3758;0.006
3759;0.002
3760;0.001
3761;0.001
3762;0.001
3763;0
3764;0
3765;0
3766;0
3767;0
3768;0
3769;0
3770;0.006
3771;0
3772;0
3773;0
3774;0
3775;0.002
3776;0.008
3777;0.045
3778;0.05
3779;0.04
3780;0.015
3781;0.021
3782;0.001
3783;0
3784;0
3785;0.001
3786;0.004
3787;0.004
3788;0.003
3789;0.002
3790;0.001
3791;0.001
3792;0
3793;0
3794;0.001
3795;0
3796;0
3797;0
3798;0
3799;0.001
3800;0.009
3801;0.078
3802;0.072
3803;0.033
3804;0.022
3805;0.04
3806;0.003
3807;0.001
3808;0
3809;0
3810;0
3811;0
3812;0
3813;0
3814;0
3815;0
3816;0
3817;0
3818;0
3819;0
3820;0
3821;0
3822;0
3823;0.001
3824;0.005
3825;0.013
3826;0.05
3827;0.125
3828;0.109
3829;0.087
3830;0.004
3831;0
3832;0.001
3833;0.008
3834;0.016
3835;0.02
3836;0.02
3837;0.016
3838;0.009
3839;0.003
3840;0.001
3841;0.004
3842;0.107
3843;0.082
3844;0.145
3845;0.305
3846;0.265
3847;0.317
3848;0.749
3849;1.498
3850;1.592
3851;1.523
3852;0.931
3853;0.153
3854;0.002
3855;0.008
3856;0.021
3857;0.034
3858;0.037
3859;0.025
3860;0.015
3861;0.009
3862;0.003
3863;0.001
3864;0
3865;0.003
3866;0.013
3867;0.015
3868;0.006
3869;0.069
3870;0.104
3871;0.092
3872;0.098
3873;0.165
3874;0.613
3875;1.024
3876;1.012
3877;0.23
3878;0.017
3879;0.015
3880;0.019
3881;0.024
3882;0.023
3883;0.012
3884;0.006
3885;0.005
3886;0.009
3887;0.01
3888;0.006
3889;0.015
3890;0.123
3891;0.286
3892;0.316
3893;0.709
3894;0.884
3895;1.696
3896;2.406
3897;3.054
3898;3.428
3899;2.949
3900;1.603
3901;0.383
3902;0.079
3903;0.038
3904;0.014
3905;0.004
3906;0.001
3907;0
3908;0
3909;0.001
3910;0.001
3911;0.003
3912;0.006
3913;0.003
3914;0.005
3915;0.001
3916;0.001
3917;0.003
3918;0.003
3919;0.006
3920;0.025
3921;0.07
3922;0.081
3923;0.174
3924;0.479
3925;0.256
3926;0.019
3927;0.005
3928;0.002
3929;0.001
3930;0.001
3931;0.001
3932;0.001
3933;0.001
3934;0.002
3935;0.004
3936;0.003
3937;0.001
3938;0.004
3939;0.326
3940;0.826
3941;0.97
3942;0.798
3943;0.526
3944;0.383
3945;0.243
3946;0.202
3947;0.237
3948;0.468
3949;0.19
3950;0.008
3951;0.001
3952;0
3953;0
3954;0
3955;0
3956;0
3957;0.001
3958;0.007
3959;0.026
3960;0.058
3961;0.047
3962;0.001
3963;0.007
3964;0.063
3965;0.466
3966;0.755
3967;0.846
3968;0.989
3969;1.239
3970;1.537
3971;1.902
3972;1.301
3973;0.091
3974;0.001
3975;0.001
3976;0.026
3977;0.067
3978;0.08
3979;0.104
3980;0.126
3981;0.133
3982;0.113
3983;0.11
3984;0.106
3985;0.043
3986;0.026
3987;0.078
3988;0.015
3989;0.007
3990;0.027
3991;0.186
3992;0.333
3993;0.556
3994;0.819
3995;0.953
3996;0.706
3997;0.054
3998;0.001
3999;0
4000;0
4001;0
4002;0
4003;0.001
4004;0.002
4005;0.004
4006;0.003
4007;0.003
4008;0.004
4009;0.002
4010;0
4011;0
4012;0
4013;0
4014;0.053
4015;0.419
4016;0.81
4017;1.576
4018;2.288
4019;2.835
4020;2.252
4021;0.557
4022;0.044
4023;0.01
4024;0.005
4025;0.004
4026;0.004
4027;0.003
4028;0.002
4029;0.003
4030;0.003
4031;0.004
4032;0.008
4033;0.004
4034;0.001
4035;0
4036;0.001
4037;0.019
4038;0.117
4039;0.215
4040;0.297
4041;0.427
4042;0.514
4043;0.463
4044;0.485
4045;0.158
4046;0.008
4047;0.004
4048;0.002
4049;0.001
4050;0.002
4051;0.005
4052;0.008
4053;0.011
4054;0.016
4055;0.025
4056;0.027
4057;0.008
4058;0
4059;0
4060;0
4061;0.015
4062;0.213
4063;0.187
4064;0.259
4065;0.448
4066;0.531
4067;0.558
4068;0.455
4069;0.109
4070;0.007
4071;0.002
4072;0.001
4073;0.001
4074;0.002
4075;0.005
4076;0.008
4077;0.006
4078;0.004
4079;0.001
4080;0.001
4081;0
4082;0
4083;0
4084;0
4085;0.001
4086;0.022
4087;0.118
4088;0.232
4089;0.255
4090;0.178
4091;0.114
4092;0.471
4093;0.308
4094;0.025
4095;0.006
4096;0.001
4097;0
4098;0
4099;0
4100;0
4101;0.001
4102;0.001
4103;0.001
4104;0.001
4105;0
4106;0
4107;0
4108;0
4109;0
4110;0
4111;0
4112;0.006
4113;0.077
4114;0.081
4115;0.117
4116;0.552
4117;0.313
4118;0.077
4119;0.031
4120;0.008
4121;0.002
4122;0
4123;0
4124;0
4125;0
4126;0
4127;0
4128;0
4129;0.002
4130;0.024
4131;0.009
4132;0.02
4133;0.034
4134;0.045
4135;0.055
4136;0.082
4137;0.053
4138;0.013
4139;0.003
4140;0.001
4141;0
4142;0
4143;0.001
4144;0.003
4145;0.007
4146;0.007
4147;0.003
4148;0.001
4149;0
4150;0
4151;0.001
4152;0.002
4153;0.004
4154;0.011
4155;0.027
4156;0.174
4157;0.838
4158;1.418
4159;1.759
4160;1.758
4161;1.658
4162;1.305
4163;0.849
4164;0.449
4165;0.117
4166;0.002
4167;0
4168;0
4169;0
4170;0.001
4171;0.001
4172;0.002
4173;0.003
4174;0.004
4175;0.003
4176;0.002
4177;0.002
4178;0
4179;0
4180;0
4181;0
4182;0.003
4183;0.006
4184;0.006
4185;0.018
4186;0.061
4187;0.059
4188;0.206
4189;0.324
4190;0.032
4191;0.015
4192;0.009
4193;0.009
4194;0.014
4195;0.019
4196;0.022
4197;0.028
4198;0.025
4199;0.019
4200;0.011
4201;0.079
4202;0.685
4203;0.336
4204;0.064
4205;0.052
4206;0.156
4207;0.352
4208;0.605
4209;0.995
4210;1.343
4211;1.521
4212;1.144
4213;0.568
4214;0.06
4215;0.041
4216;0.021
4217;0.017
4218;0.018
4219;0.018
4220;0.018
4221;0.023
4222;0.044
4223;0.071
4224;0.041
4225;0.139
4226;0.641
4227;0.858
4228;0.558
4229;0.631
4230;0.831
4231;1.011
4232;1.194
4233;1.56
4234;1.605
4235;1.554
4236;1.579
4237;0.86
4238;0.101
4239;0.048
4240;0.014
4241;0.009
4242;0.008
4243;0.009
4244;0.01
4245;0.007
4246;0.001
4247;0
4248;0
4249;0
4250;0.001
4251;0.007
4252;0.011
4253;0.068
4254;0.211
4255;0.365
4256;0.479
4257;0.934
4258;1.619
4259;1.81
4260;1.71
4261;1.033
4262;0.17
4263;0.073
4264;0.068
4265;0.035
4266;0.01
4267;0.001
4268;0
4269;0
4270;0
4271;0
4272;0
4273;0
4274;0.008
4275;0.165
4276;0.504
4277;0.92
4278;0.78
4279;0.444
4280;0.307
4281;0.261
4282;0.323
4283;0.28
4284;0.331
4285;0.159
4286;0.002
4287;0
4288;0.001
4289;0.003
4290;0.005
4291;0.004
4292;0.004
4293;0.003
4294;0.005
4295;0.008
4296;0.008
4297;0.007
4298;0.003
4299;0
4300;0
4301;0
4302;0
4303;0.001
4304;0.006
4305;0.061
4306;0.056
4307;0.274
4308;0.355
